,origin_country,origin_consulate,country,city,latitude,longitude
0,AFGHANISTAN,KABUL,AFGHANISTAN,KABUL,34.5260109,69.1776838
1,AFGHANISTAN,KABUl,AFGHANISTAN,KABUl,34.5260109,69.1776838
2,ALBANIA,GHIROKASTER,ALBANIA,GJIROKASTER,40.07106165,20.11224946150948
3,ALBANIA,GJIROKASTER,ALBANIA,GJIROKASTER,40.07106165,20.11224946150948
4,ALBANIA,KORCE,ALBANIA,KORCE,40.61788765,20.778459264467827
5,ALBANIA,TIRANA,ALBANIA,TIRANA,41.3279485,19.8185512
6,ALBANIA,VLORE,ALBANIA,VLORE,40.4707602,19.4912716
7,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
8,ALGERIA,ANNABA,ALGERIA,ANNABA,36.8982165,7.7549272
9,ALGERIA,ORAN,ALGERIA,ORAN,35.7032751,-0.6492976
10,ANDORRA,ANDORRA LA VELLA,ANDORRA,ANDORRA LA VELLA,42.5069391,1.5212467
11,ANGOLA,BENGUELA,ANGOLA,BENGUELA,-12.9104657,14.0356608
12,ANGOLA,LUANDA,ANGOLA,LUANDA,-8.8272699,13.2439512
13,ARGENTINA,BAHIA BLANCA,ARGENTINA,BAHIA BLANCA,-38.7176522,-62.2654871
14,ARGENTINA,BUENOS AIRES,ARGENTINA,BUENOS AIRES,-34.6075682,-58.4370894
15,ARGENTINA,CORDOBA,ARGENTINA,CORDOBA,-31.4173391,-64.183319
16,ARGENTINA,MENDOZA,ARGENTINA,MENDOZA,-34.78709305,-68.43818677312292
17,ARGENTINA,ROSARIO (Santa Fé),ARGENTINA,ROSARIO (Santa Fé),-32.9595004,-60.6615415
18,ARMENIA,YEREVAN,ARMENIA,YEREVAN,40.1776245,44.5126174
19,AUSTRALIA,ADELAIDE,AUSTRALIA,ADELAIDE,-34.9281805,138.5999312
20,AUSTRALIA,BRISBANE,AUSTRALIA,BRISBANE,-27.4689682,153.0234991
21,AUSTRALIA,CANBERRA,AUSTRALIA,CANBERRA,-35.2975906,149.1012676
22,AUSTRALIA,MELBOURNE,AUSTRALIA,MELBOURNE,-37.8142176,144.9631608
23,AUSTRALIA,PERTH,AUSTRALIA,PERTH,-31.9527121,115.8604796
24,AUSTRALIA,SYDNEY,AUSTRALIA,SYDNEY,-33.8548157,151.2164539
25,AUSTRIA,VIENNA,AUSTRIA,VIENNA,48.2083537,16.3725042
26,AZERBAIJAN,BAKU,AZERBAIJAN,BAKU,40.3754434,49.8326748
27,BAHRAIN,MANAMA,BAHRAIN,MANAMA,26.2235041,50.5822436
28,BANGLADESH,DHAKA,BANGLADESH,DHAKA,23.7861979,90.4026151
29,BELARUS,BREST,BELARUS,BREST,52.093751,23.6851851
30,BELARUS,GRODNO,BELARUS,GRODNO,53.6834599,23.8342648
31,BELARUS,MINSK,BELARUS,MINSK,53.9024716,27.5618225
32,BELARUS,VITSYEBSK,BELARUS,VITEBSK,55.1930197,30.2070437
33,BELGIUM,BRUSSELS,BELGIUM,BRUSSELS,50.8465573,4.351697
34,BENIN,COTONOU,BENIN,COTONOU,6.3676953,2.4252507
35,BHUTAN,THIMPHU,BHUTAN,THIMPHU,27.4713546,89.6336729
36,BOLIVIA,LA PAZ,BOLIVIA,LA PAZ,-16.4955455,-68.1336229
37,BOLIVIA,SANTA CRUZ DE LA SIERRA,BOLIVIA,SANTA CRUZ DE LA SIERRA,-17.7834936,-63.1820853
38,BOSNIA AND HERZEGOVINA,BANJA LUKA,BOSNIA AND HERZEGOVINA,BANJA LUKA,44.7720845,17.1917651
39,BOSNIA AND HERZEGOVINA,SARAJEVO,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8519774,18.3866868
40,BOTSWANA,GABORONE,BOTSWANA,GABORONE,-24.6581357,25.9088474
41,BRAZIL,BELO HORIZONTE,BRAZIL,BELO HORIZONTE,-19.9227318,-43.9450948
42,BRAZIL,BRASILIA,BRAZIL,BRASILIA,-10.3333333,-53.2
43,BRAZIL,CURITIBA,BRAZIL,CURITIBA,-25.4295963,-49.2712724
44,BRAZIL,PORTO ALEGRE,BRAZIL,PORTO ALEGRE,-30.0324999,-51.2303767
45,BRAZIL,RECIFE,BRAZIL,RECIFE,-8.0584933,-34.8848193
46,BRAZIL,RIO DE JANEIRO,BRAZIL,RIO DE JANEIRO,-22.9110137,-43.2093727
47,BRAZIL,SALVADOR DE BAHIA,BRAZIL,SALVADOR DE BAHIA,-12.9822499,-38.4812772
48,BRAZIL,SAO PAULO,BRAZIL,SAO PAULO,-23.5506507,-46.6333824
49,BRUNEI,BANDAR SERI BEGWAN,BRUNEI,BANDAR SERI BEGAWAN,4.8895453,114.9417574
50,BULGARIA,PLOVDIV,BULGARIA,PLOVDIV,42.1418541,24.7499297
51,BULGARIA,SOFIA,BULGARIA,SOFIA,42.6978634,23.3221789
52,BURKINA FASO,OUAGADOUGOU,BURKINA FASO,OUAGADOUGOU,12.3681873,-1.5270944
53,BURUNDI,BUJUMBURA,BURUNDI,BUJUMBURA,-3.3638125,29.3675028
54,CAMBODIA,PHNOM PENH,CAMBODIA,PHNOM PENH,11.568271,104.9224426
55,CAMEROON,DOUALA,CAMEROON,DOUALA,4.0429408,9.706203
56,CAMEROON,GAROUA,CAMEROON,GAROUA,9.3070698,13.3934527
57,CAMEROON,YAONDE,CAMEROON,YAOUNDE,3.8689867,11.5213344
58,CANADA,EDMONTON,CANADA,EDMONTON,53.535411,-113.507996
59,CANADA,MONTREAL,CANADA,MONTREAL,45.5031824,-73.5698065
60,CANADA,OTTAWA,CANADA,OTTAWA,45.4211435,-75.6900574
61,CANADA,TORONTO,CANADA,TORONTO,43.6534817,-79.3839347
62,CANADA,VANCOUVER,CANADA,VANCOUVER,49.2608724,-123.113952
63,CAPE VERDE,CIDADE DA PRAIA,CAPE VERDE,CIDADE DA PRAIA,15.14035365,-23.21524362921194
64,CENTRAL AFRICAN REPUBLIC,BANGUI,CENTRAL AFRICAN REPUBLIC,BANGUI,4.3907153,18.5509126
65,CHAD,N'DJAMENA,CHAD,N'DJAMENA,12.1191543,15.0502758
66,CHILE,SANTIAGO DE CHILE,CHILE,SANTIAGO DE CHILE,-33.4377756,-70.6504502
67,CHINA,BEIJING,CHINA,BEIJING,39.906217,116.3912757
68,CHINA,CHENGDU,CHINA,CHENGDU,30.6598628,104.0633717
69,CHINA,CHONGQING,CHINA,CHONGQING,29.5647398,106.5478767
70,CHINA,GUANGZHOU (CANTON),CHINA,GUANGZHOU (CANTON),23.1301964,113.2592945
71,CHINA,SHANGHAI,CHINA,SHANGHAI,31.2322758,121.4692071
72,CHINA,SHENYANG,CHINA,SHENYANG,41.6749893,123.458674
73,CHINA,WUHAN,CHINA,WUHAN,30.5951051,114.2999353
74,COLOMBIA,BOGOTA,COLOMBIA,BOGOTA,4.6533326,-74.083652
75,COMOROS,MORONI,COMOROS,MORONI,-11.6931255,43.2543044
76,COMOROS,MUTSAMUDU,COMOROS,MUTSAMUDU,-12.168846,44.3942831
77,CONGO (BRAZZAVILLE),BRAZZAVILLE,REPUBLIC OF THE CONGO,BRAZZAVILLE,-4.2694407,15.2712256
78,CONGO (BRAZZAVILLE),POINTE NOIRE,REPUBLIC OF THE CONGO,POINTE NOIRE,-4.7975373,11.8503297
79,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,DEMOCRATIC REPUBLIC OF THE CONGO,KINSHASA,-4.3217055,15.3125974
80,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,DEMOCRATIC REPUBLIC OF THE CONGO,LUBUMBASHI,-11.6642316,27.4826264
81,COSTA RICA,SAN JOSE,COSTA RICA,SAN JOSE,9.9325427,-84.0795782
82,COTE D'IVOIRE,ABIDJAN,COTE D'IVOIRE,ABIDJAN,5.320357,-4.016107
83,COTE D'IVOIRE,ABIDJAN ,COTE D'IVOIRE,ABIDJAN ,5.320357,-4.016107
84,CROATIA,ZAGREB,CROATIA,ZAGREB,45.8131847,15.9771774
85,CUBA,HAVANA,CUBA,HAVANA,23.135305,-82.3589631
86,CYPRUS,NICOSIA,CYPRUS,NICOSIA,35.1748976,33.3638568
87,CZECH REPUBLIC,PRAGUE,CZECH REPUBLIC,PRAGUE,50.0874654,14.4212535
88,DENMARK,COPENHAGEN,DENMARK,COPENHAGEN,55.6867243,12.5700724
89,DJIBOUTI,DJIBOUTI,DJIBOUTI,DJIBOUTI,11.8145966,42.8453061
90,DOMINICAN REPUBLIC,SANTO DOMINGO,DOMINICAN REPUBLIC,SANTO DOMINGO,18.4801972,-69.942111
91,ECUADOR,GUAYAQUIL,ECUADOR,GUAYAQUIL,-2.1900703,-79.8868702
92,ECUADOR,QUITO,ECUADOR,QUITO,-0.2201641,-78.5123274
93,EGYPT,ALEXANDRIA,EGYPT,ALEXANDRIA,31.199004,29.894378
94,EGYPT,CAIRO,EGYPT,CAIRO,30.0443879,31.2357257
95,EL SALVADOR,SAN SALVADOR,EL SALVADOR,SAN SALVADOR,13.6989939,-89.1914249
96,EQUATORIAL GUINEA,BATA,EQUATORIAL GUINEA,BATA,2.0064092,9.908768301060093
