,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,14.0,9.0,0.0,0.0,2020
1,Austria,ALGERIA,ALGIERS,457.0,358.0,99.0,0.21663019693654267,2020
2,Austria,ARGENTINA,BUENOS AIRES,4.0,4.0,0.0,0.0,2020
3,Austria,AUSTRALIA,CANBERRA,372.0,371.0,1.0,0.002688172043010753,2020
4,Austria,AZERBAIJAN,BAKU,343.0,323.0,14.0,0.04154302670623145,2020
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,876.0,874.0,2.0,0.00228310502283105,2020
6,Austria,BRAZIL,BRASILIA,15.0,15.0,0.0,0.0,2020
7,Austria,BULGARIA,SOFIA,123.0,121.0,0.0,0.0,2020
8,Austria,CANADA,OTTAWA,128.0,128.0,0.0,0.0,2020
9,Austria,CHILE,SANTIAGO DE CHILE,1.0,1.0,0.0,0.0,2020
10,Austria,CHINA,BEIJING,2451.0,2321.0,130.0,0.053039575683394534,2020
11,Austria,CHINA,SHANGHAI,2638.0,2588.0,50.0,0.018953752843062926,2020
12,Austria,COLOMBIA,BOGOTA,1.0,1.0,0.0,0.0,2020
13,Austria,CROATIA,ZAGREB,102.0,87.0,6.0,0.06451612903225806,2020
14,Austria,CUBA,HAVANA,79.0,70.0,9.0,0.11392405063291139,2020
15,Austria,CYPRUS,NICOSIA,316.0,314.0,2.0,0.006329113924050633,2020
16,Austria,EGYPT,CAIRO,983.0,846.0,137.0,0.13936927772126145,2020
17,Austria,ETHIOPIA,ADDIS ABEBA,201.0,193.0,5.0,0.025252525252525252,2020
18,Austria,GERMANY,MUNICH,41.0,41.0,0.0,0.0,2020
19,Austria,HONG KONG S.A.R.,HONG KONG,56.0,56.0,0.0,0.0,2020
20,Austria,INDIA,NEW DELHI,4251.0,3611.0,640.0,0.15055281110326982,2020
21,Austria,INDONESIA,JAKARTA,1348.0,1335.0,13.0,0.009643916913946587,2020
22,Austria,IRAN,TEHERAN,540.0,509.0,8.0,0.015473887814313346,2020
23,Austria,IRELAND,DUBLIN,122.0,120.0,2.0,0.01639344262295082,2020
24,Austria,ISRAEL,TEL AVIV,129.0,110.0,12.0,0.09836065573770492,2020
25,Austria,JAPAN,TOKYO,74.0,74.0,0.0,0.0,2020
26,Austria,JORDAN,AMMAN,524.0,420.0,92.0,0.1796875,2020
27,Austria,KAZAKHSTAN,NUR-SULTAN,1202.0,1190.0,12.0,0.009983361064891847,2020
28,Austria,KENYA,NAIROBI,202.0,181.0,21.0,0.10396039603960396,2020
29,Austria,KUWAIT,KUWAIT,549.0,515.0,28.0,0.05156537753222836,2020
30,Austria,LEBANON,BEIRUT,171.0,134.0,37.0,0.21637426900584794,2020
31,Austria,MALAYSIA,KUALA LUMPUR,88.0,82.0,6.0,0.06818181818181818,2020
32,Austria,MEXICO,MEXICO CITY,17.0,17.0,0.0,0.0,2020
33,Austria,MOROCCO,RABAT,279.0,213.0,66.0,0.23655913978494625,2020
34,Austria,NIGERIA,ABUJA,266.0,162.0,82.0,0.3360655737704918,2020
35,Austria,NORTH MACEDONIA,SKOPJE,294.0,43.0,32.0,0.4266666666666667,2020
36,Austria,PAKISTAN,ISLAMABAD,77.0,53.0,19.0,0.2638888888888889,2020
37,Austria,PERU,LIMA,2.0,2.0,0.0,0.0,2020
38,Austria,PHILIPPINES,MANILA,671.0,639.0,32.0,0.04769001490312966,2020
39,Austria,ROMANIA,BUCHAREST,40.0,38.0,0.0,0.0,2020
40,Austria,RUSSIAN FEDERATION,MOSCOW,10529.0,10337.0,142.0,0.013550911346502529,2020
41,Austria,SAUDI ARABIA,RIYADH,1119.0,982.0,57.0,0.0548604427333975,2020
42,Austria,SENEGAL,DAKAR,125.0,78.0,47.0,0.376,2020
43,Austria,SERBIA,BELGRADE,268.0,264.0,4.0,0.014925373134328358,2020
44,Austria,SLOVAKIA,BRATISLAVA,14.0,12.0,0.0,0.0,2020
45,Austria,SLOVENIA,LJUBLJANA,7.0,7.0,0.0,0.0,2020
46,Austria,SOUTH AFRICA,PRETORIA,1103.0,1010.0,12.0,0.011741682974559686,2020
47,Austria,SOUTH KOREA,SEOUL,25.0,23.0,2.0,0.08,2020
48,Austria,SYRIA,DAMASCUS,32.0,30.0,1.0,0.03225806451612903,2020
49,Austria,TAIWAN,TAIPEI,31.0,31.0,0.0,0.0,2020
50,Austria,THAILAND,BANGKOK,3986.0,3941.0,45.0,0.011289513296537882,2020
51,Austria,TUNISIA,TUNIS,294.0,256.0,37.0,0.12627986348122866,2020
52,Austria,TURKEY,ISTANBUL,4421.0,3886.0,533.0,0.12061552387417968,2020
53,Austria,UKRAINE,KYIV,606.0,603.0,3.0,0.0049504950495049506,2020
54,Austria,UNITED ARAB EMIRATES,ABU DHABI,830.0,754.0,57.0,0.07028360049321825,2020
55,Austria,UNITED KINGDOM,LONDON,909.0,897.0,1.0,0.0011135857461024498,2020
56,Austria,USA,"LOS ANGELES, CA",147.0,146.0,1.0,0.006802721088435374,2020
57,Austria,USA,"NEW YORK, NY",177.0,173.0,4.0,0.022598870056497175,2020
58,Austria,USA,"WASHINGTON, DC",135.0,135.0,0.0,0.0,2020
59,Austria,VIETNAM,HANOI,209.0,200.0,9.0,0.0430622009569378,2020
60,Belgium,ALGERIA,ALGIERS,1592.0,591.0,708.0,0.5450346420323325,2020
61,Belgium,ANGOLA,LUANDA,276.0,99.0,140.0,0.5857740585774058,2020
62,Belgium,ARGENTINA,BUENOS AIRES,8.0,3.0,1.0,0.25,2020
63,Belgium,AUSTRALIA,CANBERRA,33.0,27.0,1.0,0.03571428571428571,2020
64,Belgium,AUSTRIA,VIENNA,2.0,0.0,0.0,,2020
65,Belgium,BELGIUM,BRUSSELS,6.0,2.0,0.0,0.0,2020
66,Belgium,BRAZIL,SAO PAULO,9.0,6.0,3.0,0.3333333333333333,2020
67,Belgium,BULGARIA,SOFIA,29.0,26.0,1.0,0.037037037037037035,2020
68,Belgium,BURKINA FASO,OUAGADOUGOU,428.0,212.0,87.0,0.2909698996655518,2020
69,Belgium,BURUNDI,BUJUMBURA,637.0,254.0,234.0,0.47950819672131145,2020
70,Belgium,CAMEROON,YAONDE,882.0,433.0,351.0,0.4477040816326531,2020
71,Belgium,CANADA,MONTREAL,162.0,111.0,36.0,0.24489795918367346,2020
72,Belgium,CHILE,SANTIAGO DE CHILE,11.0,5.0,2.0,0.2857142857142857,2020
73,Belgium,CHINA,BEIJING,1931.0,1794.0,23.0,0.012658227848101266,2020
74,Belgium,CHINA,GUANGZHOU (CANTON),259.0,299.0,13.0,0.041666666666666664,2020
75,Belgium,CHINA,SHANGHAI,490.0,445.0,6.0,0.013303769401330377,2020
76,Belgium,COLOMBIA,BOGOTA,34.0,31.0,0.0,0.0,2020
77,Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,5975.0,3591.0,2152.0,0.37471704683963086,2020
