,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,50.0,39.0,6.0,0.13333333333333333,2022
1,Austria,ALGERIA,ALGIERS,2047.0,1213.0,831.0,0.40655577299412915,2022
2,Austria,ARGENTINA,BUENOS AIRES,18.0,18.0,0.0,0.0,2022
3,Austria,AUSTRALIA,CANBERRA,1776.0,1751.0,22.0,0.012408347433728144,2022
4,Austria,AZERBAIJAN,BAKU,1788.0,1751.0,33.0,0.018497757847533634,2022
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,1543.0,1270.0,13.0,0.010132501948558068,2022
6,Austria,BRAZIL,BRASILIA,50.0,23.0,0.0,0.0,2022
7,Austria,BULGARIA,SOFIA,382.0,367.0,4.0,0.01078167115902965,2022
8,Austria,CANADA,OTTAWA,651.0,632.0,8.0,0.0125,2022
9,Austria,CHILE,SANTIAGO DE CHILE,21.0,21.0,0.0,0.0,2022
10,Austria,CHINA,BEIJING,1129.0,819.0,310.0,0.2745792736935341,2022
11,Austria,CHINA,SHANGHAI,488.0,471.0,17.0,0.03483606557377049,2022
12,Austria,COLOMBIA,BOGOTA,29.0,28.0,0.0,0.0,2022
13,Austria,CROATIA,ZAGREB,260.0,158.0,89.0,0.3603238866396761,2022
14,Austria,CUBA,HAVANA,667.0,428.0,239.0,0.3583208395802099,2022
15,Austria,CYPRUS,NICOSIA,1588.0,1532.0,52.0,0.03282828282828283,2022
16,Austria,EGYPT,CAIRO,3529.0,2947.0,566.0,0.16111585539424994,2022
17,Austria,ETHIOPIA,ADDIS ABEBA,1099.0,743.0,345.0,0.3170955882352941,2022
18,Austria,GEORGIA,TBILISSI,7.0,6.0,1.0,0.14285714285714285,2022
19,Austria,GERMANY,MUNICH,129.0,123.0,1.0,0.008064516129032258,2022
20,Austria,HONG KONG S.A.R.,HONG KONG,183.0,181.0,2.0,0.01092896174863388,2022
21,Austria,INDIA,NEW DELHI,24791.0,18835.0,5945.0,0.23991121872477805,2022
22,Austria,INDONESIA,JAKARTA,4442.0,4426.0,16.0,0.0036019810895992796,2022
23,Austria,IRAN,TEHERAN,4343.0,3236.0,974.0,0.23135391923990498,2022
24,Austria,IRELAND,DUBLIN,897.0,867.0,30.0,0.033444816053511704,2022
25,Austria,ISRAEL,TEL AVIV,556.0,483.0,57.0,0.10555555555555556,2022
26,Austria,JAPAN,TOKYO,218.0,216.0,2.0,0.009174311926605505,2022
27,Austria,JORDAN,AMMAN,4147.0,3367.0,767.0,0.18553459119496854,2022
28,Austria,KAZAKHSTAN,ASTANA,4246.0,3126.0,1138.0,0.2668855534709193,2022
29,Austria,KENYA,NAIROBI,1257.0,865.0,392.0,0.3118536197295147,2022
30,Austria,KUWAIT,KUWAIT,4950.0,4461.0,419.0,0.08586065573770492,2022
31,Austria,LEBANON,BEIRUT,526.0,415.0,108.0,0.20650095602294455,2022
32,Austria,MALAYSIA,KUALA LUMPUR,486.0,470.0,16.0,0.03292181069958848,2022
33,Austria,MEXICO,MEXICO CITY,34.0,30.0,0.0,0.0,2022
34,Austria,MOROCCO,RABAT,1503.0,956.0,534.0,0.35838926174496644,2022
35,Austria,NIGERIA,ABUJA,1720.0,1093.0,623.0,0.36305361305361306,2022
36,Austria,NORTH MACEDONIA,SKOPJE,861.0,144.0,78.0,0.35135135135135137,2022
37,Austria,OMAN,MUSCAT,1914.0,1830.0,84.0,0.0438871473354232,2022
38,Austria,PAKISTAN,ISLAMABAD,1363.0,668.0,84.0,0.11170212765957446,2022
39,Austria,PERU,LIMA,27.0,27.0,0.0,0.0,2022
40,Austria,PHILIPPINES,MANILA,2404.0,2195.0,209.0,0.08693843594009984,2022
41,Austria,ROMANIA,BUCHAREST,193.0,181.0,9.0,0.04736842105263158,2022
42,Austria,RUSSIAN FEDERATION,MURMANSK,13292.0,9523.0,3690.0,0.27927041549988646,2022
43,Austria,SAUDI ARABIA,RIYADH,16695.0,16387.0,297.0,0.01780148645408775,2022
44,Austria,SENEGAL,DAKAR,613.0,375.0,237.0,0.3872549019607843,2022
45,Austria,SERBIA,BELGRADE,795.0,758.0,21.0,0.026957637997432605,2022
46,Austria,SLOVAKIA,BRATISLAVA,80.0,77.0,1.0,0.01282051282051282,2022
47,Austria,SLOVENIA,LJUBLJANA,54.0,51.0,1.0,0.019230769230769232,2022
48,Austria,SOUTH AFRICA,PRETORIA,5552.0,5301.0,185.0,0.03372220196864747,2022
49,Austria,SOUTH KOREA,SEOUL,107.0,97.0,10.0,0.09345794392523364,2022
50,Austria,SYRIA,DAMASCUS,358.0,153.0,197.0,0.5628571428571428,2022
51,Austria,TAIWAN,TAIPEI,74.0,72.0,2.0,0.02702702702702703,2022
52,Austria,THAILAND,BANGKOK,8453.0,8140.0,312.0,0.036914339801230475,2022
53,Austria,TUNISIA,TUNIS,2152.0,1295.0,852.0,0.39683278993945037,2022
54,Austria,TÜRKIYE,ISTANBUL,12815.0,10189.0,2613.0,0.2041087330104671,2022
55,Austria,UKRAINE,KYIV,98.0,77.0,21.0,0.21428571428571427,2022
56,Austria,UNITED ARAB EMIRATES,ABU DHABI,5800.0,4543.0,1080.0,0.19206829094789257,2022
57,Austria,UNITED KINGDOM,LONDON,2729.0,2525.0,191.0,0.0703240058910162,2022
58,Austria,USA,"LOS ANGELES, CA",748.0,729.0,18.0,0.024096385542168676,2022
59,Austria,USA,"NEW YORK, NY",1249.0,1181.0,52.0,0.042173560421735604,2022
60,Austria,USA,"WASHINGTON, DC",484.0,459.0,23.0,0.04771784232365145,2022
61,Austria,VIETNAM,HANOI,1106.0,931.0,157.0,0.14430147058823528,2022
