,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,30.0,20.0,1.0,0.047619047619047616,2015
1,Austria,ALGERIA,ALGIERS,2504.0,2212.0,290.0,0.11590727418065548,2015
2,Austria,ARGENTINA,BUENOS AIRES,14.0,14.0,0.0,0.0,2015
3,Austria,AUSTRALIA,CANBERRA,2074.0,1983.0,74.0,0.03597472046669908,2015
4,Austria,AZERBAIJAN,BAKU,2563.0,2517.0,46.0,0.01794771751853297,2015
5,Austria,BELGIUM,BRUSSELS,2.0,2.0,0.0,0.0,2015
6,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,74.0,68.0,5.0,0.0684931506849315,2015
7,Austria,BRAZIL,BRASILIA,45.0,44.0,1.0,0.022222222222222223,2015
8,Austria,BULGARIA,SOFIA,257.0,247.0,6.0,0.023715415019762844,2015
9,Austria,CANADA,OTTAWA,689.0,662.0,24.0,0.03498542274052478,2015
10,Austria,CHILE,SANTIAGO DE CHILE,18.0,17.0,1.0,0.05555555555555555,2015
11,Austria,CHINA,BEIJING,19405.0,19043.0,361.0,0.01860441146155432,2015
12,Austria,CHINA,SHANGHAI,17300.0,17243.0,57.0,0.0032947976878612718,2015
13,Austria,CROATIA,ZAGREB,351.0,339.0,0.0,0.0,2015
14,Austria,CUBA,HAVANA,424.0,401.0,23.0,0.054245283018867926,2015
15,Austria,CYPRUS,NICOSIA,451.0,447.0,3.0,0.006666666666666667,2015
16,Austria,CZECH REPUBLIC,PRAGUE,7.0,7.0,0.0,0.0,2015
17,Austria,DENMARK,COPENHAGEN,2.0,2.0,0.0,0.0,2015
18,Austria,EGYPT,CAIRO,4165.0,3474.0,667.0,0.16107220478145376,2015
19,Austria,ETHIOPIA,ADDIS ABEBA,630.0,585.0,34.0,0.05492730210016155,2015
20,Austria,FINLAND,HELSINKI,2.0,2.0,0.0,0.0,2015
21,Austria,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,1125.0,39.0,11.0,0.22,2015
22,Austria,FRANCE,PARIS,15.0,15.0,0.0,0.0,2015
23,Austria,GERMANY,BERLIN,35.0,35.0,0.0,0.0,2015
24,Austria,GERMANY,MUNICH,55.0,48.0,0.0,0.0,2015
25,Austria,HONG KONG S.A.R.,HONG KONG,544.0,543.0,1.0,0.001838235294117647,2015
26,Austria,HUNGARY,BUDAPEST,1.0,1.0,0.0,0.0,2015
27,Austria,INDIA,NEW DELHI,19368.0,18629.0,728.0,0.03760913364674278,2015
28,Austria,INDONESIA,JAKARTA,2284.0,2266.0,18.0,0.00788091068301226,2015
29,Austria,IRAN,TEHERAN,8469.0,7883.0,378.0,0.04575717225517492,2015
30,Austria,IRELAND,DUBLIN,488.0,466.0,21.0,0.043121149897330596,2015
31,Austria,ISRAEL,TEL AVIV,487.0,456.0,25.0,0.05197505197505198,2015
32,Austria,ITALY,MILAN,26.0,26.0,0.0,0.0,2015
33,Austria,ITALY,ROME,2.0,2.0,0.0,0.0,2015
34,Austria,JAPAN,TOKYO,384.0,381.0,3.0,0.0078125,2015
35,Austria,JORDAN,AMMAN,4727.0,3303.0,1390.0,0.2961858086511826,2015
