,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Finland,RUSSIAN FEDERATION,ST. PETERSBURG,1204670.0,1195130.0,9505.0,0.007890356830077161,2013
1,Spain,RUSSIAN FEDERATION,MOSCOW,1051643.0,1016986.0,10292.0,0.010018709638481501,2013
2,Greece,RUSSIAN FEDERATION,MOSCOW,910824.0,908680.0,2131.0,0.0023396731045189395,2013
3,Italy,RUSSIAN FEDERATION,MOSCOW,725524.0,720863.0,4391.0,0.006054430585698252,2013
4,France,RUSSIAN FEDERATION,MOSCOW,390161.0,385160.0,4726.0,0.012121491923280138,2013
5,Czech Republic,RUSSIAN FEDERATION,MOSCOW,364962.0,361358.0,3595.0,0.009850583499793125,2013
6,Germany,RUSSIAN FEDERATION,MOSCOW,304041.0,290189.0,13535.0,0.04456348526952101,2013
7,Poland,UKRAINE,LVOV,238113.0,226785.0,6281.0,0.026949447795903306,2013
8,Lithuania,BELARUS,MINSK,194407.0,194355.0,314.0,0.0016129943647935727,2013
9,Italy,CHINA,BEIJING,189232.0,186525.0,2702.0,0.014279146210635902,2013
10,France,ALGERIA,ALGIERS,179833.0,137957.0,41748.0,0.2323140702818508,2013
11,Greece,UKRAINE,KIEV,145500.0,144578.0,922.0,0.006336769759450172,2013
12,Finland,RUSSIAN FEDERATION,MOSCOW,142952.0,141836.0,904.0,0.00633319321843912,2013
13,France,CHINA,SHANGHAI,127862.0,123667.0,4164.0,0.03257425820028006,2013
14,Germany,CHINA,BEIJING,121192.0,110015.0,11172.0,0.09218810598496538,2013
15,Austria,RUSSIAN FEDERATION,MOSCOW,118422.0,117080.0,1276.0,0.010781033492176146,2013
16,France,CHINA,BEIJING,114216.0,105492.0,8594.0,0.07532913766807496,2013
17,Poland,BELARUS,MINSK,113091.0,112684.0,401.0,0.0035460052173144096,2013
18,Germany,UKRAINE,KIEV,112209.0,104800.0,7390.0,0.06587039843123273,2013
19,Poland,RUSSIAN FEDERATION,KALININGRAD,111669.0,110160.0,1449.0,0.01298282396580921,2013
20,Germany,CHINA,SHANGHAI,111373.0,104874.0,6490.0,0.05827736072698538,2013
21,Spain,UKRAINE,KIEV,105956.0,104692.0,535.0,0.005084246438651677,2013
22,Germany,TURKEY,ISTANBUL,100940.0,93561.0,7346.0,0.07279970666058846,2013
23,France,TUNISIA,TUNIS,100542.0,88124.0,12412.0,0.12345826370653298,2013
24,Italy,TURKEY,ISTANBUL,100228.0,99734.0,441.0,0.004402295982031445,2013
25,Poland,RUSSIAN FEDERATION,MOSCOW,99117.0,98544.0,559.0,0.005640596147442559,2013
26,Poland,UKRAINE,LUTSK,96139.0,92202.0,1067.0,0.011440028305224673,2013
27,Italy,CHINA,SHANGHAI,94476.0,92802.0,1602.0,0.01696961993135884,2013
28,France,TURKEY,ISTANBUL,90527.0,86880.0,3584.0,0.039617969579059074,2013
29,Latvia,RUSSIAN FEDERATION,MOSCOW,90031.0,89724.0,284.0,0.0031552750866589638,2013
30,Finland,RUSSIAN FEDERATION,PETROZAVODSK,89291.0,88868.0,370.0,0.004146215737690221,2013
31,Poland,UKRAINE,KIEV,86536.0,85843.0,541.0,0.0062627338395999255,2013
32,Poland,BELARUS,BREST,83658.0,83658.0,0.0,0.0,2013
