,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Finland,RUSSIAN FEDERATION,ST. PETERSBURG,914314.0,908145.0,6155.0,0.006731926063655256,2014
1,Spain,RUSSIAN FEDERATION,MOSCOW,861351.0,845776.0,8531.0,0.009985871589487152,2014
2,Greece,RUSSIAN FEDERATION,MOSCOW,768649.0,765508.0,3137.0,0.004081207839769985,2014
3,Italy,RUSSIAN FEDERATION,MOSCOW,727792.0,720564.0,7092.0,0.009746363666347835,2014
4,France,RUSSIAN FEDERATION,MOSCOW,290369.0,285664.0,4374.0,0.015080782518152794,2014
5,Czech Republic,RUSSIAN FEDERATION,MOSCOW,280827.0,279388.0,1434.0,0.005106437529823162,2014
6,Germany,RUSSIAN FEDERATION,MOSCOW,268746.0,261062.0,7567.0,0.0281689616534328,2014
7,France,ALGERIA,ALGIERS,254772.0,203773.0,50984.0,0.20012796508044922,2014
8,Poland,UKRAINE,LVOV,232208.0,227462.0,4740.0,0.020413260867692785,2014
9,Italy,CHINA,BEIJING,221336.0,217163.0,4162.0,0.018804924884220038,2014
10,Lithuania,BELARUS,MINSK,203958.0,204537.0,275.0,0.001342694763978673,2014
11,France,CHINA,SHANGHAI,185870.0,179537.0,6300.0,0.03390067639921006,2014
12,France,CHINA,BEIJING,170569.0,162595.0,7925.0,0.046475486746422705,2014
13,Poland,BELARUS,MINSK,141665.0,141451.0,212.0,0.0014965093214177308,2014
14,Germany,CHINA,SHANGHAI,126336.0,122274.0,4044.0,0.032014439747304425,2014
15,Poland,UKRAINE,LUTSK,123418.0,121095.0,2308.0,0.01870294887482476,2014
16,Germany,CHINA,BEIJING,122598.0,115635.0,6956.0,0.056741522624009916,2014
17,Greece,UKRAINE,KIEV,117833.0,116245.0,1588.0,0.013476700075530625,2014
18,Finland,RUSSIAN FEDERATION,MOSCOW,112720.0,111807.0,791.0,0.007024991562905203,2014
19,Italy,CHINA,SHANGHAI,107922.0,106263.0,1632.0,0.01512581676630057,2014
20,Germany,TURKEY,ISTANBUL,105844.0,101022.0,4799.0,0.045350166791090614,2014
21,Italy,TURKEY,ISTANBUL,105196.0,104071.0,1083.0,0.010299180249919167,2014
22,Italy,RUSSIAN FEDERATION,ST. PETERSBURG,104354.0,104028.0,321.0,0.0030762153925768337,2014
23,Poland,BELARUS,BREST,103104.0,102895.0,200.0,0.0019399582908967458,2014
24,Germany,UKRAINE,KIEV,101867.0,96807.0,5005.0,0.049159234667819116,2014
25,France,TUNISIA,TUNIS,101521.0,90110.0,11358.0,0.11193676824220444,2014
26,France,ALGERIA,ORAN,93931.0,64283.0,29600.0,0.3152860475272414,2014
27,France,CHINA,CHENGDU,91788.0,89627.0,2161.0,0.023543382577243213,2014
28,Poland,UKRAINE,KIEV,90557.0,89827.0,694.0,0.007666729267241855,2014
29,Greece,TURKEY,ISTANBUL,89102.0,86649.0,2397.0,0.026918671248568157,2014
30,France,TURKEY,ISTANBUL,82636.0,79451.0,3147.0,0.03810019613065692,2014
31,Austria,RUSSIAN FEDERATION,MOSCOW,82170.0,81441.0,646.0,0.007869699221557615,2014
32,France,CHINA,GUANGZHOU (CANTON),81930.0,78269.0,3579.0,0.04372739712638061,2014
33,Spain,COLOMBIA,BOGOTA,80904.0,77315.0,2968.0,0.036969221379370476,2014
34,Poland,BELARUS,GRODNO,78938.0,78761.0,174.0,0.002204345347437765,2014
35,France,ALGERIA,ANNABA,78111.0,56370.0,21716.0,0.2781036293317624,2014
36,Spain,UKRAINE,KIEV,76983.0,75734.0,1024.0,0.013340628989812137,2014
37,France,MOROCCO,CASABLANCA,76090.0,71322.0,4713.0,0.061984612349575856,2014
38,France,UNITED KINGDOM,LONDON,75232.0,71039.0,4178.0,0.055545953707273624,2014
39,Latvia,RUSSIAN FEDERATION,MOSCOW,72903.0,72696.0,167.0,0.0022919726061238215,2014
40,Poland,RUSSIAN FEDERATION,KALININGRAD,71401.0,70901.0,475.0,0.00665489800493163,2014
41,Germany,BELARUS,MINSK,70063.0,69714.0,312.0,0.004455487961614257,2014
42,Netherlands,RUSSIAN FEDERATION,MOSCOW,68787.0,66749.0,1754.0,0.025604718041545627,2014
43,Poland,RUSSIAN FEDERATION,MOSCOW,66781.0,66181.0,596.0,0.008925228746424667,2014
44,Finland,RUSSIAN FEDERATION,PETROZAVODSK,65325.0,65016.0,289.0,0.004425388561365899,2014
45,Switzerland,INDIA,MUMBAI,63401.0,62561.0,827.0,0.013046633432195368,2014
46,Hungary,RUSSIAN FEDERATION,MOSCOW,60505.0,60221.0,273.0,0.004512844249016431,2014
47,Germany,TURKEY,ANKARA,58183.0,50428.0,6482.0,0.11389913899138991,2014
48,Spain,ALGERIA,ORAN,57836.0,42497.0,13696.0,0.2437314256224085,2014
49,Italy,CHINA,GUANGZHOU (CANTON),57230.0,55614.0,1597.0,0.02791421230183007,2014
50,Germany,UNITED ARAB EMIRATES,DUBAI,56872.0,51249.0,4839.0,0.08627513906718015,2014
51,Portugal,ANGOLA,LUANDA,56459.0,47152.0,9263.0,0.1641939200567225,2014
52,Poland,UKRAINE,VINNYTSYA,54867.0,53981.0,852.0,0.015538088377436945,2014
53,Germany,CHINA,GUANGZHOU (CANTON),54375.0,52263.0,2045.0,0.03765559401929734,2014
54,Lithuania,RUSSIAN FEDERATION,MOSCOW,54014.0,53327.0,451.0,0.008386328982111644,2014
55,Italy,UKRAINE,KIEV,53626.0,48939.0,832.0,0.01671656185328806,2014
56,France,SAUDI ARABIA,JEDDAH,52479.0,50851.0,1615.0,0.030781839667594253,2014
57,France,EGYPT,CAIRO,52203.0,46518.0,5683.0,0.10886764621367406,2014
58,Spain,ALGERIA,ALGIERS,51940.0,31495.0,18550.0,0.3706664002397842,2014
59,France,SAUDI ARABIA,RIYADH,50302.0,49630.0,535.0,0.010664806139738862,2014
60,Germany,KUWAIT,KUWAIT,49426.0,47783.0,1617.0,0.032732793522267205,2014
61,France,KUWAIT,KUWAIT,49132.0,48006.0,1116.0,0.022718944668376696,2014
62,Germany,RUSSIAN FEDERATION,NOVOSIBIRSK,48610.0,46312.0,2296.0,0.04723502304147465,2014
63,Italy,SAUDI ARABIA,RIYADH,48305.0,47450.0,396.0,0.008276553943903357,2014
64,Hungary,UKRAINE,KIEV,48260.0,47343.0,908.0,0.018818262833930902,2014
65,Finland,RUSSIAN FEDERATION,MURMANSK,47163.0,46889.0,274.0,0.005809638911858872,2014
66,Lithuania,RUSSIAN FEDERATION,KALININGRAD,46932.0,46804.0,128.0,0.0027273502088127504,2014
67,Estonia,RUSSIAN FEDERATION,ST. PETERSBURG,46845.0,46608.0,121.0,0.0025893984463609323,2014
68,Spain,MOROCCO,TANGER,46560.0,40244.0,4125.0,0.09297031711329982,2014
69,Hungary,UKRAINE,UZHHOROD,45648.0,45147.0,483.0,0.010585141354372123,2014
70,Germany,SAUDI ARABIA,RIYADH,45419.0,43018.0,1863.0,0.04150977028141084,2014
71,Italy,BELARUS,MINSK,44786.0,44653.0,31.0,0.0006937606302032047,2014
72,Germany,THAILAND,BANGKOK,44557.0,43141.0,1412.0,0.03169259084685655,2014
73,France,MOROCCO,RABAT,44067.0,42076.0,1971.0,0.04474765591300202,2014
74,Germany,RUSSIAN FEDERATION,KALININGRAD,43239.0,42769.0,469.0,0.01084694019149822,2014
75,Switzerland,RUSSIAN FEDERATION,MOSCOW,43034.0,42751.0,175.0,0.004076783301495597,2014
76,Italy,INDIA,MUMBAI,42623.0,41567.0,1050.0,0.024638055236173358,2014
77,Greece,RUSSIAN FEDERATION,NOVOROSSIISK,42601.0,42519.0,82.0,0.001924837445130396,2014
78,Greece,RUSSIAN FEDERATION,ST. PETERSBURG,42287.0,42160.0,127.0,0.0030032870622177027,2014
79,Latvia,BELARUS,MINSK,42028.0,41797.0,184.0,0.004382935137324027,2014
80,Estonia,BELARUS,MINSK,41874.0,41110.0,520.0,0.012490992073024261,2014
81,France,MOROCCO,FES,41781.0,36785.0,4968.0,0.11898546212248222,2014
82,France,LEBANON,BEIRUT,40988.0,38726.0,2169.0,0.05303826873700941,2014
83,Sweden,RUSSIAN FEDERATION,MOSCOW,39944.0,38376.0,637.0,0.016327890703098966,2014
84,Poland,UKRAINE,KHARKOV,39853.0,38791.0,986.0,0.024788194182567815,2014
85,Estonia,RUSSIAN FEDERATION,MOSCOW,39652.0,39256.0,299.0,0.007559094931108583,2014
86,France,THAILAND,BANGKOK,39543.0,38049.0,1487.0,0.03761129097531364,2014
87,Spain,TURKEY,ISTANBUL,39500.0,38403.0,695.0,0.017775845311780655,2014
88,Germany,"IRAN, ISLAMIC REPUBLIC OF",TEHERAN,39133.0,34507.0,4479.0,0.11488739547529883,2014
89,Spain,CHINA,BEIJING,39066.0,38083.0,585.0,0.015128788662459916,2014
90,Switzerland,CHINA,BEIJING,39062.0,38081.0,958.0,0.024539563001101463,2014
91,Lithuania,UKRAINE,KIEV,38993.0,37349.0,236.0,0.0062791007050685115,2014
92,Germany,INDIA,MUMBAI,38201.0,36938.0,1257.0,0.03291006676266527,2014
