,origin_country,origin_consulate,country,city,latitude,longitude
0,RUSSIAN FEDERATION,ST. PETERSBURG,RUSSIAN FEDERATION,ST. PETERSBURG,59.938732,30.316229
1,RUSSIAN FEDERATION,MOSCOW,RUSSIAN FEDERATION,MOSCOW,55.625578,37.6063916
7,UKRAINE,LVOV,UKRAINE,LVOV,49.841952,24.0315921
8,BELARUS,MINSK,BELARUS,MINSK,53.9024716,27.5618225
9,CHINA,BEIJING,CHINA,BEIJING,,
10,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
11,UKRAINE,KIEV,UKRAINE,KIEV,50.4500336,30.5241361
13,CHINA,SHANGHAI,CHINA,SHANGHAI,31.2323437,121.4691024
19,RUSSIAN FEDERATION,KALININGRAD,RUSSIAN FEDERATION,KALININGRAD,54.710128,20.5105838
22,TURKEY,ISTANBUL,TURKEY,ISTANBUL,41.0766019,29.052495
23,TUNISIA,TUNIS,TUNISIA,TUNIS,36.8002068,10.1857757
26,UKRAINE,LUTSK,UKRAINE,LUTSK,50.7450733,25.320078
30,RUSSIAN FEDERATION,PETROZAVODSK,RUSSIAN FEDERATION,PETROZAVODSK,61.7900426,34.390007
32,BELARUS,BREST,BELARUS,BREST,52.093751,23.6851851
35,UNITED KINGDOM,MANCHESTER,UNITED KINGDOM,MANCHESTER,53.4794892,-2.2451148
36,BELARUS,GRODNO,BELARUS,GRODNO,53.6834599,23.8342648
37,COLOMBIA,BOGOTA,COLOMBIA,BOGOTA,4.6529539,-74.0835643
39,MOROCCO,CASABLANCA,MOROCCO,CASABLANCA,33.5945144,-7.6200284
41,ALGERIA,ORAN,ALGERIA,ORAN,35.7044415,-0.6502981
43,INDIA,MUMBAI,INDIA,MUMBAI,19.0785451,72.878176
45,RUSSIAN FEDERATION,MURMANSK,RUSSIAN FEDERATION,MURMANSK,68.970665,33.07497
50,TURKEY,ANKARA,TURKEY,ANKARA,39.9207759,32.8540497
51,RUSSIAN FEDERATION,NOVOROSSIISK,RUSSIAN FEDERATION,NOVOROSSIISK,44.7239578,37.7690711
52,CHINA,GUANGZHOU (CANTON),CHINA,GUANGZHOU (CANTON),23.1301964,113.2592945
54,SAUDI ARABIA,RIYADH,SAUDI ARABIA,RIYADH,24.638916,46.7160104
56,RUSSIAN FEDERATION,NOVOSIBIRSK,RUSSIAN FEDERATION,NOVOSIBIRSK,54.96781445,82.95159894278376
58,ALGERIA,ANNABA,ALGERIA,ANNABA,36.8982165,7.7549272
59,UKRAINE,UZHHOROD,UKRAINE,UZHHOROD,48.6223731,22.3022572
65,RUSSIAN FEDERATION,YEKATERINBURG,RUSSIAN FEDERATION,YEKATERINBURG,56.839104,60.60825
67,THAILAND,BANGKOK,THAILAND,BANGKOK,13.8245796,100.6224463
68,SAUDI ARABIA,JEDDAH,SAUDI ARABIA,JEDDAH,21.5810088,39.1653612
70,EGYPT,CAIRO,EGYPT,CAIRO,30.0443879,31.2357257
74,UNITED ARAB EMIRATES,DUBAI,UNITED ARAB EMIRATES,DUBAI,25.2653471,55.2924914
75,MOROCCO,TANGER,MOROCCO,TANGER,35.7642313,-5.842961427833071
77,KUWAIT,KUWAIT,KUWAIT,KUWAIT,29.3796532,47.9734174
80,UKRAINE,KHARKOV,UKRAINE,KHARKOV,49.9923181,36.2310146
81,UKRAINE,VINNYTSYA,UKRAINE,VINNYTSYA,49.2392809,28.5110617
83,MOROCCO,RABAT,MOROCCO,RABAT,34.02236,-6.8340222
85,ANGOLA,LUANDA,ANGOLA,LUANDA,-8.8272699,13.2439512
86,MOROCCO,FES,MOROCCO,FES,34.0346534,-5.0161926
88,CHINA,CHENGDU,CHINA,CHENGDU,30.6598628,104.0633717
89,RUSSIAN FEDERATION,PSKOV,RUSSIAN FEDERATION,PSKOV,57.8173923,28.3343465
92,LEBANON,BEIRUT,LEBANON,BEIRUT,33.8959203,35.47843
98,"IRAN, ISLAMIC REPUBLIC OF",TEHERAN,"IRAN, ISLAMIC REPUBLIC OF",TEHERAN,,
99,LIBYAN ARAB JAMAHIRIYA,TRIPOLI,LIBYA,TRIPOLI,32.896672,13.1777923
102,INDONESIA,JAKARTA,INDONESIA,JAKARTA,-6.175247,106.8270488
105,UKRAINE,MARIUPOL,UKRAINE,MARIUPOL,47.0957648,37.5499621
107,TURKEY,IZMIR,TURKEY,IZMIR,38.4237433,27.1428019
114,INDIA,NEW DELHI,INDIA,NEW DELHI,28.6138954,77.2090057
117,NIGERIA,LAGOS,NIGERIA,LAGOS,6.4550575,3.3941795
118,PERU,LIMA,PERU,LIMA,-12.0621065,-77.0365256
124,UNITED KINGDOM,LONDON,UNITED KINGDOM,LONDON,51.5074456,-0.1277653
126,UKRAINE,ODESSA,UKRAINE,ODESSA,46.4843023,30.7322878
127,KOSOVO,PRISTINA,KOSOVO,PRISTINA,42.6638771,21.1640849
131,UKRAINE,DONETSK,UKRAINE,DONETSK,48.0158753,37.8013407
133,QATAR,DOHA,QATAR,DOHA,25.2856329,51.5264162
136,SOUTH AFRICA,JOHANNESBURG,SOUTH AFRICA,JOHANNESBURG,-26.205,28.049722
141,SENEGAL,DAKAR,SENEGAL,DAKAR,14.693425,-17.447938
148,UNITED ARAB EMIRATES,ABU DHABI,UNITED ARAB EMIRATES,ABU DHABI,24.4538352,54.3774014
151,KAZAKHSTAN,ASTANA,KAZAKHSTAN,ASTANA,51.115320749999995,71.46636599643543
152,PHILIPPINES,MANILA,PHILIPPINES,MANILA,14.5906346,120.9799964
153,COTE D'IVOIRE,ABIDJAN ,COTE D'IVOIRE,ABIDJAN ,5.320357,-4.016107
154,BELARUS,VITSYEBSK,BELARUS,VITEBSK,55.1930197,30.2070437
157,RUSSIAN FEDERATION,SOVETSK,RUSSIAN FEDERATION,SOVETSK,55.0809688,21.8882673
159,INDIA,BANGALORE,INDIA,BANGALORE,12.9767936,77.590082
161,SOUTH AFRICA,PRETORIA,SOUTH AFRICA,PRETORIA,-25.7459277,28.1879101
163,KAZAKHSTAN,ALMATY,KAZAKHSTAN,ALMATY,43.2363924,76.9457275
167,UKRAINE,BEREHOVE,UKRAINE,BEREHOVE,48.2050985,22.6453246
168,MOROCCO,NADOR,MOROCCO,NADOR,35.1749509,-2.937164648130004
170,CHINA,WUHAN,CHINA,WUHAN,30.5951051,114.2999353
