,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,57.0,47.0,4.0,0.0784313725490196,2017
1,Austria,ALGERIA,ALGIERS,2315.0,1658.0,655.0,0.2831820146995244,2017
2,Austria,ARGENTINA,BUENOS AIRES,17.0,17.0,0.0,0.0,2017
3,Austria,AUSTRALIA,CANBERRA,2305.0,2190.0,115.0,0.049891540130151846,2017
4,Austria,AZERBAIJAN,BAKU,1922.0,1737.0,183.0,0.0953125,2017
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,223.0,222.0,1.0,0.004484304932735426,2017
6,Austria,BRAZIL,BRASILIA,37.0,37.0,0.0,0.0,2017
7,Austria,BULGARIA,SOFIA,219.0,210.0,9.0,0.0410958904109589,2017
8,Austria,CANADA,OTTAWA,739.0,718.0,21.0,0.028416779431664412,2017
9,Austria,CHILE,SANTIAGO DE CHILE,19.0,19.0,0.0,0.0,2017
10,Austria,CHINA,BEIJING,30932.0,30309.0,622.0,0.02010927548414212,2017
11,Austria,CHINA,SHANGHAI,39016.0,38570.0,446.0,0.011431207709657576,2017
12,Austria,COLOMBIA,BOGOTA,5.0,5.0,0.0,0.0,2017
13,Austria,CROATIA,ZAGREB,271.0,243.0,7.0,0.028,2017
14,Austria,CUBA,HAVANA,502.0,479.0,23.0,0.045816733067729085,2017
15,Austria,CYPRUS,NICOSIA,385.0,376.0,8.0,0.020833333333333332,2017
16,Austria,EGYPT,CAIRO,4388.0,3677.0,694.0,0.15877373598718827,2017
17,Austria,ETHIOPIA,ADDIS ABEBA,968.0,847.0,106.0,0.11122770199370409,2017
18,Austria,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,1988.0,998.0,3.0,0.002997002997002997,2017
19,Austria,GERMANY,MUNICH,179.0,173.0,4.0,0.022598870056497175,2017
20,Austria,HONG KONG S.A.R.,HONG KONG,554.0,546.0,6.0,0.010869565217391304,2017
21,Austria,INDIA,NEW DELHI,31045.0,28892.0,2129.0,0.06863092743625286,2017
22,Austria,INDONESIA,JAKARTA,5586.0,5554.0,32.0,0.005728607232366631,2017
23,Austria,IRAN,TEHERAN,12149.0,10885.0,1132.0,0.0941998834983773,2017
24,Austria,IRELAND,DUBLIN,619.0,618.0,1.0,0.0016155088852988692,2017
25,Austria,ISRAEL,TEL AVIV,663.0,600.0,56.0,0.08536585365853659,2017
26,Austria,JAPAN,TOKYO,457.0,457.0,0.0,0.0,2017
27,Austria,JORDAN,AMMAN,5608.0,4144.0,1418.0,0.2549442646530025,2017
28,Austria,KAZAKHSTAN,ASTANA,5784.0,5604.0,180.0,0.03112033195020747,2017
29,Austria,KENYA,NAIROBI,1288.0,1185.0,98.0,0.07638347622759158,2017
30,Austria,KUWAIT,KUWAIT,10340.0,9932.0,196.0,0.019352290679304898,2017
31,Austria,LEBANON,BEIRUT,2920.0,2787.0,102.0,0.035306334371754934,2017
32,Austria,MALAYSIA,KUALA LUMPUR,583.0,508.0,75.0,0.12864493996569468,2017
33,Austria,MEXICO,MEXICO CITY,53.0,53.0,0.0,0.0,2017
34,Austria,MOROCCO,RABAT,879.0,656.0,223.0,0.25369738339021614,2017
35,Austria,NIGERIA,ABUJA,1522.0,823.0,636.0,0.43591501028101437,2017
36,Austria,PAKISTAN,ISLAMABAD,1101.0,616.0,477.0,0.4364135407136322,2017
37,Austria,PERU,LIMA,11.0,11.0,0.0,0.0,2017
38,Austria,PHILIPPINES,MANILA,3689.0,3532.0,157.0,0.042558959067497966,2017
39,Austria,ROMANIA,BUCHAREST,328.0,313.0,13.0,0.03987730061349693,2017
40,Austria,RUSSIAN FEDERATION,MOSCOW,43826.0,43145.0,503.0,0.011524010263929619,2017
41,Austria,SAUDI ARABIA,RIYADH,14159.0,11127.0,338.0,0.02948102921936328,2017
42,Austria,SENEGAL,DAKAR,815.0,506.0,273.0,0.3504492939666239,2017
43,Austria,SERBIA,BELGRADE,397.0,381.0,10.0,0.02557544757033248,2017
44,Austria,SLOVAKIA,BRATISLAVA,64.0,60.0,1.0,0.01639344262295082,2017
45,Austria,SLOVENIA,LJUBLJANA,39.0,39.0,0.0,0.0,2017
46,Austria,SOUTH AFRICA,PRETORIA,7566.0,6690.0,92.0,0.013565319964612209,2017
47,Austria,SOUTH KOREA,SEOUL,159.0,154.0,5.0,0.031446540880503145,2017
48,Austria,TAIWAN,TAIPEI,103.0,102.0,1.0,0.009708737864077669,2017
49,Austria,THAILAND,BANGKOK,19266.0,19129.0,137.0,0.007110972698017233,2017
50,Austria,TUNISIA,TUNIS,2264.0,1666.0,592.0,0.26217891939769705,2017
51,Austria,TURKEY,ANKARA,7081.0,7022.0,55.0,0.007771654655927653,2017
52,Austria,TURKEY,ISTANBUL,11926.0,10944.0,975.0,0.08180216461112509,2017
53,Austria,UKRAINE,KYIV,10578.0,10394.0,178.0,0.016836927733636018,2017
54,Austria,UNITED ARAB EMIRATES,ABU DHABI,7330.0,6337.0,931.0,0.12809576224545954,2017
55,Austria,UNITED KINGDOM,LONDON,3572.0,3336.0,196.0,0.05549263873159683,2017
56,Austria,USA,"LOS ANGELES, CA",614.0,593.0,21.0,0.03420195439739414,2017
57,Austria,USA,"NEW YORK, NY",990.0,958.0,27.0,0.027411167512690356,2017
58,Austria,USA,"WASHINGTON, DC",495.0,492.0,2.0,0.004048582995951417,2017
59,Austria,VENEZUELA,CARACAS,11.0,9.0,2.0,0.18181818181818182,2017
60,Austria,VIETNAM,HANOI,1635.0,1572.0,62.0,0.037943696450428395,2017
61,Belgium,ALGERIA,ALGIERS,5665.0,2953.0,2137.0,0.41984282907662085,2017
62,Belgium,ANGOLA,LUANDA,2460.0,967.0,1521.0,0.6113344051446945,2017
63,Belgium,ARGENTINA,BUENOS AIRES,19.0,18.0,0.0,0.0,2017
64,Belgium,AUSTRALIA,CANBERRA,169.0,128.0,128.0,0.5,2017
65,Belgium,AUSTRIA,VIENNA,1.0,0.0,0.0,,2017
66,Belgium,BELGIUM,BRUSSELS,34.0,30.0,0.0,0.0,2017
67,Belgium,BRAZIL,SAO PAULO,44.0,34.0,3.0,0.08108108108108109,2017
68,Belgium,BULGARIA,SOFIA,86.0,74.0,4.0,0.05128205128205128,2017
69,Belgium,BURKINA FASO,OUAGADOUGOU,2935.0,2132.0,711.0,0.2500879352796342,2017
70,Belgium,BURUNDI,BUJUMBURA,3181.0,2324.0,601.0,0.20547008547008547,2017
71,Belgium,CAMEROON,YAONDE,4316.0,2609.0,1278.0,0.3287882685875997,2017
72,Belgium,CANADA,MONTREAL,722.0,549.0,80.0,0.1271860095389507,2017
73,Belgium,CHILE,SANTIAGO DE CHILE,24.0,18.0,4.0,0.18181818181818182,2017
74,Belgium,CHINA,BEIJING,33381.0,32677.0,578.0,0.017380844985716435,2017
75,Belgium,CHINA,GUANGZHOU (CANTON),3434.0,3213.0,156.0,0.04630454140694568,2017
76,Belgium,CHINA,SHANGHAI,6254.0,5907.0,167.0,0.02749423773460652,2017
77,Belgium,COLOMBIA,BOGOTA,11.0,11.0,0.0,0.0,2017
78,Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,24528.0,14957.0,8436.0,0.36062069849955114,2017
79,Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,1468.0,879.0,451.0,0.33909774436090223,2017
80,Belgium,COTE D'IVOIRE,ABIDJAN ,2613.0,1702.0,751.0,0.30615572768039134,2017
81,Belgium,CROATIA,ZAGREB,29.0,28.0,0.0,0.0,2017
82,Belgium,CUBA,HAVANA,1127.0,977.0,95.0,0.08861940298507463,2017
83,Belgium,EGYPT,CAIRO,3021.0,2274.0,618.0,0.21369294605809128,2017
84,Belgium,ETHIOPIA,ADDIS ABEBA,1045.0,883.0,94.0,0.09621289662231321,2017
85,Belgium,FINLAND,HELSINKI,5.0,3.0,1.0,0.25,2017
86,Belgium,FRANCE,PARIS,4.0,4.0,0.0,0.0,2017
87,Belgium,GERMANY,BERLIN,3.0,2.0,0.0,0.0,2017
88,Belgium,GREECE,ATHENS,11.0,5.0,0.0,0.0,2017
89,Belgium,HONG KONG S.A.R.,HONG KONG,486.0,471.0,11.0,0.022821576763485476,2017
90,Belgium,HUNGARY,BUDAPEST,3.0,2.0,0.0,0.0,2017
91,Belgium,INDIA,MUMBAI,16336.0,15434.0,536.0,0.03356293049467752,2017
92,Belgium,INDIA,NEW DELHI,6174.0,4925.0,1143.0,0.18836519446275543,2017
93,Belgium,INDONESIA,JAKARTA,653.0,640.0,0.0,0.0,2017
94,Belgium,IRAN,TEHERAN,5608.0,3922.0,1274.0,0.24518860662047728,2017
