,schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
0,Austria,ALBANIA,TIRANA,32.0,23.0,7.0,0.23333333333333334,2021
1,Austria,ALGERIA,ALGIERS,596.0,331.0,265.0,0.4446308724832215,2021
2,Austria,ARGENTINA,BUENOS AIRES,9.0,8.0,1.0,0.1111111111111111,2021
3,Austria,AUSTRALIA,CANBERRA,85.0,81.0,4.0,0.047058823529411764,2021
4,Austria,AZERBAIJAN,BAKU,385.0,372.0,13.0,0.033766233766233764,2021
5,Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,1401.0,1388.0,13.0,0.009279086366880799,2021
6,Austria,BRAZIL,BRASILIA,11.0,11.0,0.0,0.0,2021
7,Austria,BULGARIA,SOFIA,227.0,221.0,4.0,0.017777777777777778,2021
8,Austria,CANADA,OTTAWA,200.0,198.0,2.0,0.01,2021
9,Austria,CHILE,SANTIAGO DE CHILE,7.0,6.0,1.0,0.14285714285714285,2021
10,Austria,CHINA,BEIJING,493.0,424.0,69.0,0.13995943204868155,2021
11,Austria,CHINA,SHANGHAI,85.0,83.0,2.0,0.023529411764705882,2021
12,Austria,COLOMBIA,BOGOTA,31.0,22.0,9.0,0.2903225806451613,2021
13,Austria,CROATIA,ZAGREB,216.0,170.0,31.0,0.15422885572139303,2021
14,Austria,CUBA,HAVANA,200.0,162.0,38.0,0.19,2021
15,Austria,CYPRUS,NICOSIA,671.0,655.0,11.0,0.016516516516516516,2021
16,Austria,EGYPT,CAIRO,615.0,476.0,139.0,0.22601626016260162,2021
17,Austria,ETHIOPIA,ADDIS ABEBA,221.0,175.0,46.0,0.2081447963800905,2021
18,Austria,GERMANY,MUNICH,133.0,120.0,12.0,0.09090909090909091,2021
19,Austria,HONG KONG S.A.R.,HONG KONG,22.0,22.0,0.0,0.0,2021
20,Austria,INDIA,NEW DELHI,1416.0,1076.0,338.0,0.23903818953323905,2021
21,Austria,INDONESIA,JAKARTA,259.0,256.0,3.0,0.011583011583011582,2021
22,Austria,IRAN,TEHERAN,1309.0,1067.0,240.0,0.18362662586074982,2021
23,Austria,IRELAND,DUBLIN,165.0,150.0,15.0,0.09090909090909091,2021
24,Austria,ISRAEL,TEL AVIV,201.0,169.0,32.0,0.15920398009950248,2021
25,Austria,JAPAN,TOKYO,39.0,39.0,0.0,0.0,2021
26,Austria,JORDAN,AMMAN,1577.0,1302.0,273.0,0.17333333333333334,2021
27,Austria,KAZAKHSTAN,NUR-SULTAN,1130.0,918.0,211.0,0.18689105403011513,2021
28,Austria,KENYA,NAIROBI,400.0,284.0,116.0,0.29,2021
29,Austria,KUWAIT,KUWAIT,2169.0,2055.0,83.0,0.03882132834424696,2021
30,Austria,LEBANON,BEIRUT,267.0,139.0,127.0,0.4774436090225564,2021
31,Austria,MALAYSIA,KUALA LUMPUR,48.0,46.0,2.0,0.041666666666666664,2021
32,Austria,MEXICO,MEXICO CITY,20.0,13.0,7.0,0.35,2021
33,Austria,MOROCCO,RABAT,127.0,125.0,2.0,0.015748031496062992,2021
34,Austria,NIGERIA,ABUJA,467.0,429.0,38.0,0.08137044967880086,2021
35,Austria,NORTH MACEDONIA,SKOPJE,878.0,120.0,128.0,0.5161290322580645,2021
36,Austria,OMAN,MUSCAT,59.0,52.0,7.0,0.11864406779661017,2021
37,Austria,PAKISTAN,ISLAMABAD,206.0,149.0,56.0,0.2731707317073171,2021
38,Austria,PERU,LIMA,22.0,18.0,4.0,0.18181818181818182,2021
39,Austria,PHILIPPINES,MANILA,343.0,280.0,63.0,0.1836734693877551,2021
40,Austria,ROMANIA,BUCHAREST,66.0,59.0,6.0,0.09230769230769231,2021
41,Austria,RUSSIAN FEDERATION,MOSCOW,9650.0,9273.0,377.0,0.03906735751295337,2021
42,Austria,SAUDI ARABIA,RIYADH,6712.0,6583.0,128.0,0.019073163462971242,2021
43,Austria,SENEGAL,DAKAR,190.0,107.0,83.0,0.4368421052631579,2021
44,Austria,SERBIA,BELGRADE,625.0,593.0,32.0,0.0512,2021
45,Austria,SLOVAKIA,BRATISLAVA,19.0,19.0,0.0,0.0,2021
46,Austria,SLOVENIA,LJUBLJANA,30.0,30.0,0.0,0.0,2021
47,Austria,SOUTH AFRICA,PRETORIA,1044.0,895.0,85.0,0.08673469387755102,2021
48,Austria,SOUTH KOREA,SEOUL,34.0,31.0,3.0,0.08823529411764706,2021
49,Austria,SYRIA,DAMASCUS,104.0,32.0,72.0,0.6923076923076923,2021
50,Austria,TAIWAN,TAIPEI,32.0,31.0,1.0,0.03125,2021
51,Austria,THAILAND,BANGKOK,794.0,711.0,83.0,0.10453400503778337,2021
52,Austria,TUNISIA,TUNIS,430.0,288.0,142.0,0.3302325581395349,2021
53,Austria,TURKEY,ISTANBUL,4321.0,3712.0,609.0,0.14093959731543623,2021
54,Austria,UKRAINE,KYIV,1044.0,993.0,51.0,0.04885057471264368,2021
55,Austria,UNITED ARAB EMIRATES,ABU DHABI,1181.0,899.0,259.0,0.2236614853195164,2021
56,Austria,UNITED KINGDOM,LONDON,877.0,850.0,26.0,0.02968036529680365,2021
57,Austria,USA,"LOS ANGELES, CA",191.0,182.0,9.0,0.04712041884816754,2021
58,Austria,USA,"NEW YORK, NY",243.0,209.0,34.0,0.13991769547325103,2021
59,Austria,USA,"WASHINGTON, DC",182.0,160.0,22.0,0.12087912087912088,2021
60,Austria,VIETNAM,HANOI,105.0,101.0,4.0,0.0380952380952381,2021
61,Belgium,ALGERIA,ALGIERS,1208.0,615.0,267.0,0.30272108843537415,2021
62,Belgium,ANGOLA,LUANDA,356.0,122.0,109.0,0.47186147186147187,2021
63,Belgium,ARGENTINA,BUENOS AIRES,2.0,1.0,0.0,0.0,2021
64,Belgium,AUSTRALIA,CANBERRA,17.0,13.0,0.0,0.0,2021
65,Belgium,BELGIUM,BRUSSELS,16.0,9.0,0.0,0.0,2021
66,Belgium,BRAZIL,SAO PAULO,9.0,3.0,1.0,0.25,2021
67,Belgium,BULGARIA,SOFIA,108.0,89.0,11.0,0.11,2021
68,Belgium,BURKINA FASO,OUAGADOUGOU,585.0,441.0,71.0,0.138671875,2021
69,Belgium,BURUNDI,BUJUMBURA,718.0,473.0,191.0,0.2876506024096386,2021
70,Belgium,CAMEROON,YAONDE,1330.0,676.0,365.0,0.3506243996157541,2021
71,Belgium,CANADA,MONTREAL,308.0,171.0,62.0,0.26609442060085836,2021
72,Belgium,CHILE,SANTIAGO DE CHILE,12.0,8.0,0.0,0.0,2021
73,Belgium,CHINA,BEIJING,1710.0,1673.0,14.0,0.008298755186721992,2021
74,Belgium,CHINA,GUANGZHOU (CANTON),19.0,17.0,1.0,0.05555555555555555,2021
75,Belgium,CHINA,SHANGHAI,59.0,54.0,0.0,0.0,2021
76,Belgium,COLOMBIA,BOGOTA,29.0,23.0,2.0,0.08,2021
77,Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,6548.0,3946.0,1378.0,0.2588279489105935,2021
78,Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,454.0,368.0,51.0,0.12171837708830549,2021
79,Belgium,COTE D'IVOIRE,ABIDJAN,964.0,481.0,286.0,0.3728813559322034,2021
80,Belgium,CROATIA,ZAGREB,20.0,9.0,9.0,0.5,2021
81,Belgium,CUBA,HAVANA,287.0,217.0,43.0,0.16538461538461538,2021
82,Belgium,EGYPT,CAIRO,550.0,187.0,228.0,0.5493975903614458,2021
83,Belgium,ETHIOPIA,ADDIS ABEBA,402.0,270.0,55.0,0.16923076923076924,2021
84,Belgium,FRANCE,PARIS,5.0,5.0,0.0,0.0,2021
85,Belgium,GERMANY,BERLIN,1.0,1.0,0.0,0.0,2021
86,Belgium,GREECE,ATHENS,1.0,0.0,0.0,,2021
87,Belgium,HONG KONG S.A.R.,HONG KONG,103.0,99.0,3.0,0.029411764705882353,2021
88,Belgium,HUNGARY,BUDAPEST,4.0,3.0,0.0,0.0,2021
89,Belgium,INDIA,MUMBAI,4775.0,4008.0,365.0,0.08346672764692431,2021
90,Belgium,INDIA,NEW DELHI,1613.0,1284.0,195.0,0.13184584178498987,2021
91,Belgium,INDONESIA,JAKARTA,166.0,131.0,27.0,0.17088607594936708,2021
92,Belgium,IRAN,TEHERAN,307.0,89.0,106.0,0.5435897435897435,2021
93,Belgium,IRELAND,DUBLIN,365.0,335.0,7.0,0.02046783625730994,2021
94,Belgium,ISRAEL,JERUSALEM,116.0,61.0,20.0,0.24691358024691357,2021
95,Belgium,ISRAEL,TEL AVIV,19.0,18.0,1.0,0.05263157894736842,2021
96,Belgium,ITALY,ROME,1.0,0.0,1.0,1.0,2021
97,Belgium,JAMAICA,KINGSTON,207.0,163.0,6.0,0.03550295857988166,2021
98,Belgium,JAPAN,TOKYO,36.0,28.0,5.0,0.15151515151515152,2021
99,Belgium,JORDAN,AMMAN,796.0,370.0,190.0,0.3392857142857143,2021
100,Belgium,KENYA,NAIROBI,374.0,288.0,57.0,0.16521739130434782,2021
101,Belgium,KUWAIT,KUWAIT,610.0,481.0,34.0,0.06601941747572816,2021
102,Belgium,LEBANON,BEIRUT,1149.0,496.0,434.0,0.4666666666666667,2021
103,Belgium,MALAYSIA,KUALA LUMPUR,14.0,12.0,1.0,0.07692307692307693,2021
104,Belgium,MEXICO,MEXICO CITY,7.0,7.0,0.0,0.0,2021
105,Belgium,MOROCCO,CASABLANCA,327.0,220.0,182.0,0.4527363184079602,2021
106,Belgium,MOROCCO,RABAT,1664.0,791.0,444.0,0.3595141700404858,2021
107,Belgium,NETHERLANDS,THE HAGUE,9.0,5.0,0.0,0.0,2021
108,Belgium,NIGERIA,ABUJA,756.0,328.0,230.0,0.4121863799283154,2021
109,Belgium,PAKISTAN,ISLAMABAD,587.0,290.0,203.0,0.4117647058823529,2021
110,Belgium,PANAMA,PANAMA CITY,7.0,4.0,0.0,0.0,2021
111,Belgium,PERU,LIMA,161.0,153.0,5.0,0.03164556962025317,2021
112,Belgium,PHILIPPINES,MANILA,4322.0,4077.0,161.0,0.037989617744218974,2021
113,Belgium,POLAND,WARSAW,4.0,2.0,1.0,0.3333333333333333,2021
114,Belgium,PORTUGAL,LISBON,3.0,2.0,0.0,0.0,2021
115,Belgium,QATAR,DOHA,642.0,449.0,115.0,0.20390070921985815,2021
116,Belgium,ROMANIA,BUCHAREST,60.0,32.0,14.0,0.30434782608695654,2021
117,Belgium,RUSSIAN FEDERATION,MOSCOW,2234.0,1745.0,274.0,0.1357107478949975,2021
118,Belgium,RWANDA,KIGALI,3017.0,2162.0,607.0,0.21921271217045865,2021
119,Belgium,SAUDI ARABIA,RIYADH,663.0,558.0,65.0,0.1043338683788122,2021
120,Belgium,SENEGAL,DAKAR,1288.0,521.0,442.0,0.45898234683281414,2021
121,Belgium,SERBIA,BELGRADE,16.0,12.0,1.0,0.07692307692307693,2021
122,Belgium,SINGAPORE,SINGAPORE,80.0,70.0,3.0,0.0410958904109589,2021
123,Belgium,SOUTH AFRICA,CAPE TOWN,266.0,210.0,9.0,0.0410958904109589,2021
124,Belgium,SOUTH AFRICA,JOHANNESBURG,1.0,0.0,0.0,,2021
125,Belgium,SOUTH AFRICA,PRETORIA,518.0,435.0,35.0,0.07446808510638298,2021
126,Belgium,SOUTH KOREA,SEOUL,19.0,13.0,3.0,0.1875,2021
127,Belgium,SPAIN,MADRID,47.0,3.0,2.0,0.4,2021
128,Belgium,SWITZERLAND,BERN,1.0,0.0,1.0,1.0,2021
129,Belgium,TAIWAN,TAIPEI,2.0,2.0,0.0,0.0,2021
130,Belgium,TANZANIA,DAR ES SALAAM,210.0,161.0,28.0,0.14814814814814814,2021
131,Belgium,THAILAND,BANGKOK,648.0,395.0,216.0,0.353518821603928,2021
132,Belgium,TUNISIA,TUNIS,995.0,517.0,287.0,0.35696517412935325,2021
133,Belgium,TURKEY,ISTANBUL,2415.0,1255.0,557.0,0.30739514348785874,2021
134,Belgium,UGANDA,KAMPALA,245.0,191.0,37.0,0.16228070175438597,2021
135,Belgium,UKRAINE,KYIV,165.0,95.0,47.0,0.33098591549295775,2021
136,Belgium,UNITED ARAB EMIRATES,ABU DHABI,971.0,713.0,150.0,0.17381228273464658,2021
137,Belgium,UNITED KINGDOM,LONDON,1197.0,833.0,213.0,0.20363288718929254,2021
138,Belgium,USA,"ATLANTA, GA",104.0,83.0,5.0,0.056818181818181816,2021
139,Belgium,USA,"LOS ANGELES, CA",94.0,74.0,5.0,0.06329113924050633,2021
140,Belgium,USA,"NEW YORK, NY",354.0,284.0,23.0,0.0749185667752443,2021
141,Belgium,USA,"WASHINGTON, DC",191.0,165.0,4.0,0.023668639053254437,2021
142,Belgium,VIETNAM,HANOI,133.0,115.0,6.0,0.049586776859504134,2021
143,Czech Republic,AFGHANISTAN,KABUL,5.0,5.0,0.0,0.0,2021
144,Czech Republic,ALBANIA,TIRANA,7.0,3.0,3.0,0.5,2021
145,Czech Republic,ALGERIA,ALGIERS,75.0,45.0,30.0,0.4,2021
146,Czech Republic,ARGENTINA,BUENOS AIRES,1.0,1.0,0.0,0.0,2021
